Naziv isplatitelja;Datum;Primatelj;Iznos na poziciji;Programska klasifikacija;Ekonomska klasifikacija;Opis
GRAD OTOČAC;9.4.2021 2:00;A1 Hrvatska d.o.o.;25,22;A01 1001K100001 Nabava dugotrajne imovine;422220 Telefoni i ostali komunikacijski uređaji;usluge telefona 03/21 21/0000363
GRAD OTOČAC;14.5.2021 2:00;A1 Hrvatska d.o.o.;25,22;A01 1001K100001 Nabava dugotrajne imovine;422220 Telefoni i ostali komunikacijski uređaji;21/0000546
GRAD OTOČAC;14.5.2021 2:00;A1 Hrvatska d.o.o.;107,25;A01 1001A100003 Redovan rad ureda Gradonačelnika;323110 Usluge telefona, telefaksa;21/0000546
GRAD OTOČAC;9.6.2021 2:00;A1 Hrvatska d.o.o.;25,22;A01 1001K100001 Nabava dugotrajne imovine;422220 Telefoni i ostali komunikacijski uređaji;račun za 05/21
GRAD OTOČAC;9.6.2021 2:00;A1 Hrvatska d.o.o.;106,76;A01 1001A100003 Redovan rad ureda Gradonačelnika;323110 Usluge telefona, telefaksa;račun za 05/21
GRAD OTOČAC;14.7.2021 2:00;A1 Hrvatska d.o.o.;106,84;A01 1001A100003 Redovan rad ureda Gradonačelnika;323110 Usluge telefona, telefaksa;usluga telefona 06/21 21/0000834
GRAD OTOČAC;14.7.2021 2:00;A1 Hrvatska d.o.o.;25,22;A01 1001K100001 Nabava dugotrajne imovine;422220 Telefoni i ostali komunikacijski uređaji;usluga telefona 06/21 21/0000834
GRAD OTOČAC;11.8.2021 2:00;A1 Hrvatska d.o.o.;25,22;A01 1001K100001 Nabava dugotrajne imovine;422220 Telefoni i ostali komunikacijski uređaji;usluga telefona 07/21 21/0000969
GRAD OTOČAC;11.8.2021 2:00;A1 Hrvatska d.o.o.;109,04;A01 1001A100003 Redovan rad ureda Gradonačelnika;323110 Usluge telefona, telefaksa;usluga telefona 07/21 21/0000969
GRAD OTOČAC;7.9.2021 2:00;A1 Hrvatska d.o.o.;100,87;A01 1001K100001 Nabava dugotrajne imovine;422220 Telefoni i ostali komunikacijski uređaji;USLUGE TELEFONA 08/21 21/0001070
GRAD OTOČAC;7.9.2021 2:00;A1 Hrvatska d.o.o.;89,09;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323110 Usluge telefona, telefaksa;USLUGE TELEFONA 08/21 21/0001070
GRAD OTOČAC;11.10.2021 2:00;A1 Hrvatska d.o.o.;86,28;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323110 Usluge telefona, telefaksa;usluga telefona 09/21 21/0001215
GRAD OTOČAC;10.11.2021 1:00;A1 Hrvatska d.o.o.;71,16;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323110 Usluge telefona, telefaksa;usluga telefona 10/21 21/0001409
GRAD OTOČAC;10.12.2021 1:00;A1 Hrvatska d.o.o.;51,96;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323110 Usluge telefona, telefaksa;usluge telefona 11/21 21/0001605
GRAD OTOČAC;8.3.2022 1:00;A1 Hrvatska d.o.o.;82,95;A01 1002A100005 Objekt u vlasništvu Grada 'Kuglana';323540 Licence;godišnja licenca 22/0000183
GRAD OTOČAC;24.2.2023 1:00;A1 Hrvatska d.o.o.;116,13;A01 1002A100207 Objekt u vlasništvu grada - Kuglana;323540 Licence;licenca godišnja fiskal 2023. 23/0000139
GRAD OTOČAC;28.2.2024 1:00;A1 Hrvatska d.o.o.;116,14;A01 1002A100207 Objekt u vlasništvu grada - Kuglana;323540 Licence;licenca za fiskalni račun 24/0000144
GRAD OTOČAC;24.2.2025 1:00;A1 Hrvatska d.o.o.;143,13;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323540 Licence;FreshPay godišnja licenca
GRAD OTOČAC;29.1.2021 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;109,5;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;osdržavanje programa za 12/20 20/0001305
GRAD OTOČAC;23.2.2021 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;109,5;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;plaćanje računa
GRAD OTOČAC;15.3.2021 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;109,5;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 02/21 21/0000241
GRAD OTOČAC;9.4.2021 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;109,5;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje 03/21 21/0000345
GRAD OTOČAC;7.5.2021 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;109,5;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;mjesečno održavanje 04/21 21/0000534
GRAD OTOČAC;9.6.2021 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;109,5;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje 05/21 21/0000677
GRAD OTOČAC;14.7.2021 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;164,24;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje 06/21 21/0000799
GRAD OTOČAC;11.8.2021 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;109,5;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;redovno održavanje 07/21 21/0000939
GRAD OTOČAC;7.9.2021 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;109,5;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 08/2021 21/0001072
GRAD OTOČAC;11.10.2021 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;109,5;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;redovno održavanje programa 09/21 21/0001203
GRAD OTOČAC;10.11.2021 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;109,5;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;redovno održavanje programa za 07/2021 21/0001408
GRAD OTOČAC;10.12.2021 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;109,5;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 11/21 21/0001588
GRAD OTOČAC;30.12.2021 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;109,5;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;ODRŽAVANJE 12/21 21/0001792
GRAD OTOČAC;15.2.2022 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,4;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;323810 Usluge ažuriranja računalnih baza;ODRŽAVANJE 01/22 22/0000073
GRAD OTOČAC;18.3.2022 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,4;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;323810 Usluge ažuriranja računalnih baza;održavanje programa za 02/2022 22/0000248
GRAD OTOČAC;13.4.2022 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,4;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;323810 Usluge ažuriranja računalnih baza;održavanje  03/22 22/0000379
GRAD OTOČAC;16.5.2022 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,4;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;323810 Usluge ažuriranja računalnih baza;održavanje programa za 04/2022 22/0000633
GRAD OTOČAC;9.6.2022 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,4;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;323810 Usluge ažuriranja računalnih baza;održavanje programa za 05/2022 22/0000775
GRAD OTOČAC;8.7.2022 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,4;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;323810 Usluge ažuriranja računalnih baza;održavanje 05/22 22/0000932
GRAD OTOČAC;12.8.2022 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,4;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;323810 Usluge ažuriranja računalnih baza;redovno održavanje 07/22 22/0001094
GRAD OTOČAC;9.9.2022 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,4;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;323810 Usluge ažuriranja računalnih baza;održavanje programa za 08/2022 22/0001433
GRAD OTOČAC;12.10.2022 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,4;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;323810 Usluge ažuriranja računalnih baza;redovno održavanje 09/22 22/0001847
GRAD OTOČAC;16.11.2022 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,4;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;323810 Usluge ažuriranja računalnih baza;održavanje programa za 10/2022 22/0002095
GRAD OTOČAC;9.12.2022 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,4;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;323810 Usluge ažuriranja računalnih baza;održavanje programa za 11/2022 22/0002306
GRAD OTOČAC;30.12.2022 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,4;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;323810 Usluge ažuriranja računalnih baza;ODRŽAVANJE 12/22 22/0002582
GRAD OTOČAC;24.2.2023 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;237,19;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje 01/23 23/0000011
GRAD OTOČAC;8.3.2023 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 02/2023 23/0000191
GRAD OTOČAC;13.4.2023 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje 3/23 23/0000370
GRAD OTOČAC;8.5.2023 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa 23/0000564
GRAD OTOČAC;13.6.2023 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 05/2023 23/0000781
GRAD OTOČAC;10.7.2023 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje 6/23 23/0000897
GRAD OTOČAC;8.8.2023 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje 7/23 23/0001066
GRAD OTOČAC;7.9.2023 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 08/23 23/0001449
GRAD OTOČAC;4.10.2023 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;oodržavanje 9/23 23/0001865
GRAD OTOČAC;15.12.2023 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje 11/23 23/0002342
GRAD OTOČAC;9.1.2024 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje 12/23 23/0002571
GRAD OTOČAC;28.2.2024 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 01/2024 24/0000090
GRAD OTOČAC;12.3.2024 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 02/24 24/0000242
GRAD OTOČAC;5.4.2024 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje 3/24 24/0000377
GRAD OTOČAC;9.5.2024 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 04/2024 24/0000586
GRAD OTOČAC;13.6.2024 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 05/2024 24/0000721
GRAD OTOČAC;12.7.2024 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa 24/0000898
GRAD OTOČAC;7.8.2024 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje 7/24 24/0001030
GRAD OTOČAC;12.9.2024 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;redovno održavanje 8/24 24/0001204
GRAD OTOČAC;3.10.2024 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;red.održavanje 9/24 24/0001341
GRAD OTOČAC;12.11.2024 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 10/2024 24/0001579
GRAD OTOČAC;11.12.2024 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 11/2024 24/0001754
GRAD OTOČAC;17.1.2025 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;129,38;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 12/24 24/0001886
GRAD OTOČAC;18.2.2025 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;149,25;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 01/25
GRAD OTOČAC;14.3.2025 1:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;149,25;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 02/2025
GRAD OTOČAC;25.4.2025 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;149,25;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 03/25 25/0000428
GRAD OTOČAC;26.5.2025 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;149,25;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;Red. održavanje K2 25/0000576
GRAD OTOČAC;26.6.2025 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;149,25;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 05/2025 25/0000749
GRAD OTOČAC;24.7.2025 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;149,25;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323890 Ostale računalne usluge;Red. održavanje K2 25/0000954
GRAD OTOČAC;26.8.2025 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;149,25;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323810 Usluge ažuriranja računalnih baza;održavanje programa za 07/2025 25/0001079
GRAD OTOČAC;22.9.2025 2:00;Abacus, vl. Danijel Karpišek Obrt za informatičke usluge i trgovinu;149,25;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;323890 Ostale računalne usluge;održavanje programa za 08/2025 25/0001280
GRAD OTOČAC;9.3.2021 1:00;Adria Oil d.o.o.;2328,83;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;322390 Ostali materijali za proizvodnju energije (ugljen, drva, teško ulje);lož ulje- Gradska uprava 21/0000198
GRAD OTOČAC;17.9.2021 2:00;Adria Oil d.o.o.;3052,64;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;322390 Ostali materijali za proizvodnju energije (ugljen, drva, teško ulje);LOŽ ULJE 21/0001125
GRAD OTOČAC;24.12.2021 1:00;Adria Oil d.o.o.;2013,74;A01 1002A100001 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;322390 Ostali materijali za proizvodnju energije (ugljen, drva, teško ulje);LOŽ ULJE 21/0001701
GRAD OTOČAC;9.3.2022 1:00;Adria Oil d.o.o.;4153,84;A01 1002A100202 Redovan rad Tajništva;322390 Ostali materijali za proizvodnju energije (ugljen, drva, teško ulje);LOŽ ULJE 22/0000215
GRAD OTOČAC;12.10.2022 2:00;Adria Oil d.o.o.;2135,95;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;322390 Ostali materijali za proizvodnju energije (ugljen, drva, teško ulje);lož ulje 22/0001839
GRAD OTOČAC;20.10.2022 2:00;Adria Oil d.o.o.;90,38;A01 1002A100205 Održavanje službenih automobila;322340 Motorni benzin i dizel gorivo;troškovi goriva 22/0001983
GRAD OTOČAC;27.10.2022 2:00;Adria Oil d.o.o.;145,63;A01 1002A100205 Održavanje službenih automobila;322340 Motorni benzin i dizel gorivo;gorivo 22/0002053
GRAD OTOČAC;16.11.2022 1:00;Adria Oil d.o.o.;569,55;A01 1002A100205 Održavanje službenih automobila;322340 Motorni benzin i dizel gorivo;gorivo 22/0002110
GRAD OTOČAC;9.12.2022 1:00;Adria Oil d.o.o.;37,16;A01 1002A100205 Održavanje službenih automobila;322340 Motorni benzin i dizel gorivo;gorivo 11/22 22/0002284
GRAD OTOČAC;9.12.2022 1:00;Adria Oil d.o.o.;62,52;A01 1002A100205 Održavanje službenih automobila;322340 Motorni benzin i dizel gorivo;gorivo 22/0002242
GRAD OTOČAC;22.12.2022 1:00;Adria Oil d.o.o.;2783,49;A01 1002A100001 Redovan rad Jedinstvenog upravnog odjela;322390 Ostali materijali za proizvodnju energije (ugljen, drva, teško ulje);lož ulje 22/0002446
GRAD OTOČAC;28.12.2022 1:00;Adria Oil d.o.o.;277,76;A01 1002A100205 Održavanje službenih automobila;322340 Motorni benzin i dizel gorivo;gorivo 22/0002519
GRAD OTOČAC;4.1.2023 1:00;Adria Oil d.o.o.;29,66;A01 1002A100205 Održavanje službenih automobila;322340 Motorni benzin i dizel gorivo;gorivo eurosuper 95 22/0002621
GRAD OTOČAC;24.2.2023 1:00;Adria Oil d.o.o.;96,28;A01 1002A100205 Održavanje službenih automobila;322340 Motorni benzin i dizel gorivo;gorivo 1/23 23/0000002
GRAD OTOČAC;13.3.2023 1:00;Adria Oil d.o.o.;121,06;A01 1002A100205 Održavanje službenih automobila;322340 Motorni benzin i dizel gorivo;gorivo 2/23 23/0000246
GRAD OTOČAC;22.3.2023 1:00;Adria Oil d.o.o.;4376,91;A01 1002A100204 Redovan rad gradskog, administrativnog, tehničkog i stručnog osoblja;322390 Ostali materijali za proizvodnju energije (ugljen, drva, teško ulje);lož ulje 23/0000260
GRAD OTOČAC;29.3.2023 2:00;Adria Oil d.o.o.;245,64;A01 1002A100205 Održavanje službenih automobila;322340 Motorni benzin i dizel gorivo;gorivo 23/0000346
GRAD OTOČAC;14.4.2023 2:00;Adria Oil d.o.o.;129,71;A01 1002A100205 Održavanje službenih automobila;322340 Motorni benzin i dizel gorivo;gorivo 23/0000428
